Dataset,Model,Segment Balanced Accuracy,STD,Segment Accuracy,Segment Macro F1,n_folds,n_test_segments,n_test_subjects,Experiment
Creativity,EEGNet,0.7778,0.1571,0.7545,0.7763,28.0,224,28.0,creativity_cross_eegnet
Creativity,Logistic Regression,0.6409,0.1596,0.5982,0.5542,28.0,224,28.0,creativity_cross_logreg
Design,EEGNet,0.8621,0.1255,0.8386,0.8451,27.0,378,27.0,design_cross_eegnet
Design,Logistic Regression,0.7654,0.1732,0.7196,0.7713,27.0,378,27.0,design_cross_logreg
